video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=onFtVaHwL9M&pp=ygUKcmFjZURlbnZlcg%3D%3D,/@CleetusM,Cleetus McFarland,"Race Week 2019 DAY 2: Mountain Driving the Racecars to Denver - RAIN, Bald Eagles, and Overheating!",958K,4 years,NEXT Cleetus and Cars dates: Aug 24th Houston Nov 23th Bradenton Here's the new Cleetus2 Channel - https://goo.gl/Ph2wyo ...,2024-02-03 22:33:23.283530
/watch?v=Mss1-Po_BCc&pp=ygUKcmFjZURlbnZlcg%3D%3D,/@MicahStovallyt,Micah Stovall,Racing Cheto Cat 2022 a Fixed Gear Only Alleycat in Denver,49K,1 year,"Massive ups to Chetos for throwing the race, I've linked his instagram where he organizes these! Big shout out to Paris for battling ...",2024-02-03 22:33:23.288325
/watch?v=l698dy6mas8&pp=ygUKcmFjZURlbnZlcg%3D%3D,/@comotofilms,COMOTO Films,Denver Supercross 2023 - 450SX Main Event,79K,8 months,"Monster Energy Supercross 2023 - 450SX Main Event - Denver, CO.",2024-02-03 22:33:23.292672
/watch?v=S_uA2Gt5H0s&pp=ygUKcmFjZURlbnZlcg%3D%3D,/@GoAndRace,Go&Race,Denver Colfax Marathon: fly over the race path!,626,9 months,"Fly over the 42.195 km (26.224 mi) race path of the event ""Denver Colfax Marathon"" in Denver, Colorado, United States (Saturday, ...",2024-02-03 22:33:23.295501
/watch?v=PYtAlqJD288&pp=ygUKcmFjZURlbnZlcg%3D%3D,/@hdRunners,hdRunners,2024 Track - CA Winter Championships Track & Field Meet,6.8K,11 days,"The 2024 California Winter Championships track & field meet, held on February 3 at Arcadia High School, showcases high school ...",2024-02-03 22:33:23.297610
/watch?v=C33qKO7spKA&pp=ygUKcmFjZURlbnZlcg%3D%3D,/@ClubMX,ClubMX,ClubLife - Beyond The Race Episode 22 : History is made in Denver,24K,8 months,Welcome to the new streaming series from ClubMX training facility and the Muc-Off / FXR / ClubMX race team. Follow their lead up ...,2024-02-03 22:33:23.299865
/watch?v=buRPzML1Ask&pp=ygUKcmFjZURlbnZlcg%3D%3D,/@MotorsportsonNBC,Motorsports on NBC,Chase Sexton wins Round 16 in Denver to take lead; Eli Tomac ruptures Achilles | Motorsports on NBC,70K,8 months,"Leigh Diffey, Ricky Carmichael, and Daniel Blair recap Round 16, where Eli Tomac ruptured his Achilles, which will end his ...",2024-02-03 22:33:23.302028
/watch?v=W3vtRWPKJ1U&pp=ygUKcmFjZURlbnZlcg%3D%3D,/@9news,9NEWS,Denver Police cracking down on street racing,18K,2 years,DPD says they are increasing enforcement and have a team dedicated to preventing street racing because of just how dangerous ...,2024-02-03 22:33:23.304433
/watch?v=AFJUa09zwK0&pp=ygUKcmFjZURlbnZlcg%3D%3D,/@OCRKings,OCR Kings,Terrain Race 2022 (All Obstacles),34K,1 year,"Terrain Race 2022 (All Obstacles) - Terrain Racing event Hartford, CT, June 25, 2022. As run by Mack of OCR Kings. Don't forget ...",2024-02-03 22:33:23.308138
/watch?v=p6wCNvbD7JM&pp=ygULcmFjZSBEZW52ZXI%3D,/@gcnracing,GCN Racing,"NCL 2023 Highlights - Round 2, Denver",18K,5 months,"The National Cycling League (NCL) is cycling's newest racing series, which aims to grow the sport in the USA through a series of ...",2024-02-03 22:33:31.863466
/watch?v=y51NI6aH7Do&pp=ygULcmFjZSBEZW52ZXI%3D,/@SpartanRaceTube,Spartan,DEKA FIT Denver | Men's Elite Coverage,16K,1 year,"The stacked men's field in Denver lived up to the hype. Ryan Kent, Veejay Jones, Mark Gaudet, Robert Killian, Nick Ryker, Jack ...",2024-02-03 22:33:31.869916
/watch?v=MmGA3u2ku-E&pp=ygULcmFjZSBEZW52ZXI%3D,/@comotofilms,COMOTO Films,Monster Energy Supercross FULL 450SX Main Event - Denver 2022,266K,1 year,"Watch Monster Energy Supercross Round 16 in Denver, CO. Eli Tomac, Jason Anderson and Malcom Stewart battle it out in this ...",2024-02-03 22:33:31.872731
/watch?v=iEcIhKHWMn0&pp=ygULcmFjZSBEZW52ZXI%3D,/@MotorsportsonNBC,Motorsports on NBC,"Best moments from Supercross Round 16 in Denver, Colorado | Motorsports on NBC",26K,8 months,"NBC Sports – the home of motorsports – features unparalleled motorsports programming, fueled by the network's media rights ...",2024-02-03 22:33:31.877442
/watch?v=LJ3IiaweyEg&pp=ygULcmFjZSBEZW52ZXI%3D,/@denvercallouts.,Denver Call Outs,Call Outs Denver Races Of The Year!!,784,2 years,Started Off Late In The Season This Year But We've Had Alot Of Positive Feed And Alot Of Support We Appreciate It! We Know ...,2024-02-03 22:33:31.880125
/watch?v=69YLqcW2j30&pp=ygULcmFjZSBEZW52ZXI%3D,/@chuy121087,chuy121087,Denver Colorado Race Scene,16K,14 years,Denver street racing cruising.,2024-02-03 22:33:31.882858
/watch?v=5voEHf3La20&pp=ygULcmFjZSBEZW52ZXI%3D,/@Nexton9NEWS,Next 9NEWS,"Dinner and Dialogue: Denver strangers meet for uncomfortable, necessary discussions about race",6.3K,2 years,Trinity United Methodist Church has been hosting conversations on race for weeks. These are intentional conversations that ...,2024-02-03 22:33:31.885737
/watch?v=7wHJqwRpfLI&pp=ygULcmFjZSBEZW52ZXI%3D,/@MaxaMillion711,MaxaMillion711,The Nuggets' HISTORIC Title Run In 10 Minutes 🏆,75K,7 months,"Denver Nuggets best moments & highlights from the 22-23 NBA Playoffs! featuring Nikola Jokic, Jamal Murray, Aaron Gordon, ...",2024-02-03 22:33:31.888496
/watch?v=pgIi1ccdu98&pp=ygULcmFjZSBEZW52ZXI%3D,/@Denver7,Denver7,Mike Johnston extends lead in Denver mayoral race,166,9 months,"As of 10 p.m., Mike Johnston has extended his lead, now holding 24.66% of the vote. Kelly Brough remains in second but dropped ...",2024-02-03 22:33:31.891863
/watch?v=sO41FejhC8o&pp=ygULcmFjZSBEZW52ZXI%3D,/@orionbbs,orionbbs,"1990 SCCA Trans-Am Race - Denver, Colorado - 1 of 3",3.4K,14 years,1 of 3 - Video starts 15-laps into the race (sorry about that) -- includes some great racing between Tommy Kendall and Dorsey ...,2024-02-03 22:33:31.894610
