video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=ouDinCRMQ_g&pp=ygUJcmFjZU1pYW1p,/@redbull,Red Bull,F1 Drivers Race WILD Swamp Cars 🇺🇸 🐊,5.3M,1 year,"Ahead of the Miami Grand Prix, Formula One drivers Max Verstappen & Yuki Tsunoda turned their F1 racing skills to a new ...",2024-02-03 22:27:40.684235
/watch?v=qO7fo2EV1rs&pp=ygUJcmFjZU1pYW1p,/@Formula1,FORMULA 1,Qualifying Highlights | 2023 Miami Grand Prix,4.9M,8 months,"Watch all the best bits from a dramatic qualifying session in Miami! For more F1® videos, visit https://www.Formula1.com Follow ...",2024-02-03 22:27:40.687731
/watch?v=MUBJcQEWCh4&pp=ygUJcmFjZU1pYW1p,/@Ferrari,Ferrari,"Ferrari Challenge North America Coppa Shell - Homestead-Miami, Race 2",7.4K,Streamed 10 months,Watch all of the Ferrari Challenge action live from the Homestead-Miami Speedway. #Ferrari488ChallengeEvo ...,2024-02-03 22:27:40.692226
/watch?v=utbkq8ME2kA&pp=ygUJcmFjZU1pYW1p,/@imsaofficial,IMSA Official,Race 1 - 2023 Porsche Carrera Cup North America At Miami International Autodrome,42K,8 months,Check out the action from the Round 5 of the Porsche Carrera Cup North America at Miami International Autodrome.,2024-02-03 22:27:40.696666
/watch?v=Iw6Q-5RIGTs&pp=ygUJcmFjZU1pYW1p,/@GDAWG803,GDAWG803,"MIAMI NIGHTS 3 : Donkmaster , 2fly vs Macho | WILD UNSEEN MLK WEEKEND FOOTAGE | Donk Racing 2024",29K,5 days,"MLK WEEKEND in South Florida is always a vibe! See just how they do it in the land of the Donks , the 305! Donkmaster pulls up ...",2024-02-03 22:27:40.701709
/shorts/uALsS4PQs7Q,/@espn,ESPN,STARS are out at the F1 race in Miami ⭐️,531K,1 year,STARS are out at the F1 race in Miami ⭐️ #shorts ✔️Subscribe to ESPN+ http://espnplus.com/youtube ✔️ Get the ESPN App: ...,2024-02-03 22:27:47.763735
/watch?v=0DPAH0ONdkM&pp=ygUKcmFjZSBNaWFtaQ%3D%3D,/@NBA,NBA,"SUNS at HAWKS | FULL GAME HIGHLIGHTS | February 2, 2024",222K,19 hours,"Never miss a moment with the latest news, trending stories and highlights to bring you closer to your favorite players and teams.",2024-02-03 22:27:47.766363
/watch?v=N109mlx10NA&pp=ygUKcmFjZSBNaWFtaQ%3D%3D,/@Formula1,FORMULA 1,Every Driver's Miami Entrance! | 2023 Miami Grand Prix,1.2M,8 months,Our drivers were provided with a stunning entrance to the crowd in Miami as Will.I.AM's orchestra played out his new track THE ...,2024-02-03 22:27:47.770639
/watch?v=onBbHqh9clc&pp=ygUKcmFjZSBNaWFtaQ%3D%3D,/@BeatdownRacing,Beatdown Racing,"F1 22 - 100% Race Miami, USA in Chuck Leclerc's Ferrari | PS5",313K,1 year,"Check out this brand new video of F1 22 gameplay on PS5, containing a full 100% race around the Miami Grand Prix circuit!",2024-02-03 22:27:47.773869
/watch?v=vDU8dperEKE&pp=ygUKcmFjZSBNaWFtaQ%3D%3D,/@WorldSailingTV,World Sailing TV,Laser Medal Race | Hempel World Cup Series Miami 2020,29K,4 years,The quest for a medal at Hempel World Cup Series Miami wasn't the only battle ongoing in the Laser fleet. With a North American ...,2024-02-03 22:27:47.782144
/watch?v=TAJu3iIT19M&pp=ygUKcmFjZSBNaWFtaQ%3D%3D,/@Thedroneracingleague,Drone Racing League,Drone Racing League's Miami 30FLY Finals,14K,Streamed 9 months,CHAMPIONSHIP DRONE RACE Watch the FINAL race of the 2022-23 DRL @Algorand World Championship Season ...,2024-02-03 22:27:47.786837
/watch?v=uzQkfY6uUAc&pp=ygUKcmFjZSBNaWFtaQ%3D%3D,/@CLASHENDURANCE,CLASH Endurance,CLASH Miami Men's & Women's Professional Athlete Race - Full Livestream,10K,1 year,A professional field consisting of Olympians and triathlon champions from around the globe showcased incredible skill at the ...,2024-02-03 22:27:47.790352
/watch?v=3PYT921Ft48&pp=ygUKcmFjZSBNaWFtaQ%3D%3D,/@Hannahtharrell,Hannah Harrell,VLOG: F1 Miami Grand Prix,78K,8 months,"My first ever Formula 1 race eeekkkkkk best weekend of my life,, so so thankful for this experience and for you guys wow ily ...",2024-02-03 22:27:47.793512
/watch?v=ZoxGJgBFtNo&pp=ygUKcmFjZSBNaWFtaQ%3D%3D,/@MiamiVice,Miami Vice,The Powerboat Race | Miami Vice,64K,3 years,"During the race with a drug dealer McCarthy, Crockett, Tubbs, and Zito discover how he smuggles his drugs into Miami - by using ...",2024-02-03 22:27:47.796373
/watch?v=GTifvVZBNWs&pp=ygUKcmFjZSBNaWFtaQ%3D%3D,/@Thedroneracingleague,Drone Racing League,"32BitsOfGil, Fastest Lap, Miami | Drone Racing League",479K,6 years,"Fastest Lap: 32BitsOfGil, 00:53.5, Miami Nights DRL is the premiere professional race series for FPV drone racing.",2024-02-03 22:27:47.799350
/watch?v=KoATyC_nUVE&pp=ygUKcmFjZSBNaWFtaQ%3D%3D,/@Ferrari,Ferrari,"Ferrari Challenge North America Trofeo Pirelli - Homestead-Miami, Race 1",14K,Streamed 10 months,Watch all of the Ferrari Challenge action live from the Homestead-Miami Speedway. #Ferrari488ChallengeEvo ...,2024-02-03 22:27:47.802414
/watch?v=OajteERv3GE&pp=ygUKcmFjZSBNaWFtaQ%3D%3D,/@BSport320,B Sport,F1 2023 - Race 5 Miami GP - Updates,7K,8 months,Let's have a closer look at which updates teams brought for Baku and Miami! Why did some teams delay updates to the Miami GP ...,2024-02-03 22:27:47.805314
/watch?v=qlmhlyd8bZY&pp=ygUKcmFjZSBNaWFtaQ%3D%3D,/@libertysquarerising4711,Liberty Square Rising,"LIBERTY SQUARE: Power, History, & Race in Miami",126K,7 years,"On January 29, 2015, Miami-Dade County Mayor Carlos Gimenez announced that Liberty Square, one of the country's oldest ...",2024-02-03 22:27:47.808031
/watch?v=MgeeicqcFmo&pp=ygUKcmFjZSBNaWFtaQ%3D%3D,/@s1krrafa,S1KRRAFA,STREET RACING IN MIAMI FLORIDA - PART TWO (FINAL),2.4K,11 months,Socials: Instagram.com/s1krrafa https://www.facebook.com/mrs1krr?mibextid=LQQJ4d Cameras And Gadgets - Insta 360 X3 ...,2024-02-03 22:27:47.810521
/watch?v=an6P9CHchnU&pp=ygUKcmFjZSBNaWFtaQ%3D%3D,/@KymIllman,Kym Illman,Off to Miami for F1's newest race,109K,1 year,"It was off to Miami for the brand new F1 Miami 2022 Grand Prix race and my journey saw me taking trains, planes and ...",2024-02-03 22:27:47.813624
/watch?v=YjCipcNNXlI&pp=ygUKcmFjZSBNaWFtaQ%3D%3D,/@TheLateLateShow,The Late Late Show with James Corden,James Takes Over McLaren Racing at Miami Grand Prix,3.7M,1 year,James Corden jetted to Miami to meet drivers Lando Norris and Daniel Ricciardo and the McLaren Racing team for the Formula ...,2024-02-03 22:27:47.816377
/watch?v=6ECNH-pf1b0&pp=ygUKcmFjZSBNaWFtaQ%3D%3D,/@theprofessional155,TheProfessional,"Hitman 3- Part 9 Sabotaging The Race ( Miami Master Difficulty, Silent Assassin )",41K,3 years,Party 9 of my playthrough of Hitman. On this part Agent 47 goes to Miami to take out Robert And Sierra Knox. Support me on ...,2024-02-03 22:27:47.819130
/watch?v=Iw6Q-5RIGTs&pp=ygUKcmFjZSBNaWFtaQ%3D%3D,/@GDAWG803,GDAWG803,"MIAMI NIGHTS 3 : Donkmaster , 2fly vs Macho | WILD UNSEEN MLK WEEKEND FOOTAGE | Donk Racing 2024",29K,5 days,"MLK WEEKEND in South Florida is always a vibe! See just how they do it in the land of the Donks , the 305! Donkmaster pulls up ...",2024-02-03 22:27:58.010677
/watch?v=XjDFGDoc228&pp=ygUKcmFjZSBNaWFtaQ%3D%3D,/@osrn2,OSRN 2,2002 CART Grand Prix Americas at Miami Race,6.7K,4 years,Round 16 of the 2002 CART Season at Bayfront Park in Miami. This is the full version of this race as most of the CBS affiliates that ...,2024-02-03 22:27:58.013542
